Attack Type,Defense,seed,start_num,Number of Attackers,Best Global Accuracy,epoch_num
Shejwalkar_attack_min_sum,krum,42,0,10,23.011363636363637,1201
Shejwalkar_attack_min_sum,krum,42,0,15,23.660714285714285,1201
Shejwalkar_attack_min_sum,krum,666,0,5,41.11201298701299,946
Shejwalkar_attack_min_sum,krum,666,0,10,26.19724025974026,1201
Shejwalkar_attack_min_sum,krum,666,0,15,19.21672077922078,1201
Shejwalkar_attack_min_sum,tr_mean,42,0,5,55.7224025974026,898
Shejwalkar_attack_min_sum,tr_mean,42,0,10,42.67451298701299,938
Shejwalkar_attack_min_sum,tr_mean,42,0,15,27.191558441558442,1201
Shejwalkar_attack_min_sum,tr_mean,666,0,5,62.743506493506494,1201
Shejwalkar_attack_min_sum,tr_mean,666,0,10,37.844967532467535,421
Shejwalkar_attack_min_sum,tr_mean,666,0,15,28.20616883116883,668
our_attack_hessanangle_mean,Bulyan,42,0,5,49.208603896103895,953
our_attack_hessanangle_mean,Bulyan,42,0,10,23.7012987012987,1201
our_attack_hessanangle_mean,Bulyan,42,0,15,21.428571428571427,1201
our_attack_hessanangle_mean,Bulyan,666,0,5,36.607142857142854,287
our_attack_hessanangle_mean,Bulyan,666,0,10,29.87012987012987,1201
our_attack_hessanangle_mean,Bulyan,666,0,15,21.469155844155843,1201
our_attack_hessanangle_mean,FedAvg,42,0,5,60.77516233766234,1201
our_attack_hessanangle_mean,FedAvg,42,0,10,28.61201298701299,456
our_attack_hessanangle_mean,FedAvg,42,0,15,31.04707792207792,1201
our_attack_hessanangle_mean,FedAvg,666,0,5,62.86525974025974,1201
our_attack_hessanangle_mean,FedAvg,666,0,10,52.881493506493506,1201
our_attack_hessanangle_mean,FedAvg,666,0,15,31.087662337662337,278
our_attack_hessanangle_mean,Median,42,0,5,51.46103896103896,758
our_attack_hessanangle_mean,Median,42,0,10,31.676136363636363,1201
our_attack_hessanangle_mean,Median,42,0,15,23.4375,1201
our_attack_hessanangle_mean,Median,666,0,5,50.10146103896104,816
our_attack_hessanangle_mean,Median,666,0,10,26.339285714285715,773
our_attack_hessanangle_mean,Median,666,0,15,23.559253246753247,1201
our_attack_hessanangle_mean,Multi_krum,42,0,5,59.598214285714285,1201
our_attack_hessanangle_mean,Multi_krum,42,0,10,34.19237012987013,976
our_attack_hessanangle_mean,Multi_krum,42,0,15,22.301136363636363,1201
our_attack_hessanangle_mean,Multi_krum,666,0,5,59.98376623376623,1201
our_attack_hessanangle_mean,Multi_krum,666,0,10,29.13961038961039,278
our_attack_hessanangle_mean,Multi_krum,666,0,15,22.788149350649352,1201
our_attack_hessanangle_mean,Norm_bounding,42,0,5,61.78977272727273,1201
our_attack_hessanangle_mean,Norm_bounding,42,0,10,54.464285714285715,1201
our_attack_hessanangle_mean,Norm_bounding,42,0,15,45.37337662337662,1201
our_attack_hessanangle_mean,Norm_bounding,666,0,5,63.45373376623377,1201
our_attack_hessanangle_mean,Norm_bounding,666,0,10,43.12094155844156,767
our_attack_hessanangle_mean,Norm_bounding,666,0,15,28.93668831168831,1201
our_attack_hessanangle_mean,krum,42,0,5,43.56737012987013,623
our_attack_hessanangle_mean,krum,42,0,10,27.5974025974026,1201
our_attack_hessanangle_mean,krum,42,0,15,19.703733766233768,1201
our_attack_hessanangle_mean,krum,666,0,5,42.04545454545455,739
our_attack_hessanangle_mean,krum,666,0,10,25.324675324675326,412
our_attack_hessanangle_mean,krum,666,0,15,20.150162337662337,133
our_attack_hessanangle_mean,tr_mean,42,0,5,61.87094155844156,1201
our_attack_hessanangle_mean,tr_mean,42,0,10,41.61931818181818,882
our_attack_hessanangle_mean,tr_mean,42,0,15,22.321428571428573,1201
our_attack_hessanangle_mean,tr_mean,666,0,5,56.85876623376623,919
our_attack_hessanangle_mean,tr_mean,666,0,10,37.88555194805195,819
our_attack_hessanangle_mean,tr_mean,666,0,15,27.11038961038961,1201
our_attack_hessanangle_mean_cha,Bulyan,42,0,5,47.42288961038961,622
our_attack_hessanangle_mean_cha,Bulyan,42,0,10,26.339285714285715,1201
our_attack_hessanangle_mean_cha,Bulyan,42,0,15,18.141233766233768,164
our_attack_hessanangle_mean_cha,Bulyan,666,0,5,48.72159090909091,668
